oi
oi
[datetime.date(2020, 2, 10), 'Milwaukee Bucks', 123, 'Sacramento Kings', 111, 'https://www.basketball-reference.com/boxscores/202002100MIL.html', 0]
[datetime.date(2020, 2, 10), 'Toronto Raptors', 137, 'Minnesota Timberwolves', 126, 'https://www.basketball-reference.com/boxscores/202002100TOR.html', 0]
[datetime.date(2020, 2, 10), 'Orlando Magic', 135, 'Atlanta Hawks', 126, 'https://www.basketball-reference.com/boxscores/202002100ORL.html', 0]
[datetime.date(2020, 2, 10), 'Detroit Pistons', 76, 'Charlotte Hornets', 87, 'https://www.basketball-reference.com/boxscores/202002100DET.html', 0]
[datetime.date(2020, 2, 10), 'Indiana Pacers', 105, 'Brooklyn Nets', 106, 'https://www.basketball-reference.com/boxscores/202002100IND.html', 0]
[datetime.date(2020, 2, 10), 'Los Angeles Lakers', 125, 'Phoenix Suns', 100, 'https://www.basketball-reference.com/boxscores/202002100LAL.html', 0]
[datetime.date(2020, 2, 10), 'Golden State Warriors', 101, 'Miami Heat', 113, 'https://www.basketball-reference.com/boxscores/202002100GSW.html', 0]
[datetime.date(2020, 2, 10), 'Denver Nuggets', 127, 'San Antonio Spurs', 120, 'https://www.basketball-reference.com/boxscores/202002100DEN.html', 0]
[datetime.date(2020, 2, 10), 'Dallas Mavericks', 119, 'Utah Jazz', 123, 'https://www.basketball-reference.com/boxscores/202002100DAL.html', 0]
[datetime.date(2020, 2, 9), 'Atlanta Hawks', 140, 'New York Knicks', 135, 'https://www.basketball-reference.com/boxscores/202002090ATL.html', 0]
[datetime.date(2020, 2, 9), 'Portland Trail Blazers', 115, 'Miami Heat', 109, 'https://www.basketball-reference.com/boxscores/202002090POR.html', 0]
[datetime.date(2020, 2, 9), 'Cleveland Cavaliers', 92, 'Los Angeles Clippers', 133, 'https://www.basketball-reference.com/boxscores/202002090CLE.html', 0]
[datetime.date(2020, 2, 9), 'Houston Rockets', 113, 'Utah Jazz', 114, 'https://www.basketball-reference.com/boxscores/202002090HOU.html', 0]
[datetime.date(2020, 2, 9), 'Washington Wizards', 99, 'Memphis Grizzlies', 106, 'https://www.basketball-reference.com/boxscores/202002090WAS.html', 0]
[datetime.date(2020, 2, 9), 'Philadelphia 76ers', 118, 'Chicago Bulls', 111, 'https://www.basketball-reference.com/boxscores/202002090PHI.html', 0]
[datetime.date(2020, 2, 9), 'Oklahoma City Thunder', 111, 'Boston Celtics', 112, 'https://www.basketball-reference.com/boxscores/202002090OKC.html', 0]
[datetime.date(2020, 2, 8), 'Charlotte Hornets', 100, 'Dallas Mavericks', 116, 'https://www.basketball-reference.com/boxscores/202002080CHO.html', 0]
[datetime.date(2020, 2, 8), 'Sacramento Kings', 122, 'San Antonio Spurs', 102, 'https://www.basketball-reference.com/boxscores/202002080SAC.html', 0]
[datetime.date(2020, 2, 8), 'Phoenix Suns', 108, 'Denver Nuggets', 117, 'https://www.basketball-reference.com/boxscores/202002080PHO.html', 0]
[datetime.date(2020, 2, 8), 'Golden State Warriors', 120, 'Los Angeles Lakers', 125, 'https://www.basketball-reference.com/boxscores/202002080GSW.html', 0]
[datetime.date(2020, 2, 8), 'Minnesota Timberwolves', 142, 'Los Angeles Clippers', 115, 'https://www.basketball-reference.com/boxscores/202002080MIN.html', 0]
[datetime.date(2020, 2, 8), 'Toronto Raptors', 119, 'Brooklyn Nets', 118, 'https://www.basketball-reference.com/boxscores/202002080TOR.html', 0]
[datetime.date(2020, 2, 8), 'Indiana Pacers', 117, 'New Orleans Pelicans', 124, 'https://www.basketball-reference.com/boxscores/202002080IND.html', 0]
[datetime.date(2020, 2, 8), 'Detroit Pistons', 92, 'New York Knicks', 95, 'https://www.basketball-reference.com/boxscores/202002080DET.html', 0]
[datetime.date(2020, 2, 8), 'Orlando Magic', 95, 'Milwaukee Bucks', 111, 'https://www.basketball-reference.com/boxscores/202002080ORL.html', 0]
[datetime.date(2020, 2, 7), 'Philadelphia 76ers', 119, 'Memphis Grizzlies', 107, 'https://www.basketball-reference.com/boxscores/202002070PHI.html', 0]
